#date, pm25, pm10, o3, no2, so2, co
2020/8/29, 58, , 30, , 2, 4
2020/8/30, 59, , 60, , 2, 5
2020/8/31, 59, , 47, , 1, 3
2020/9/1, 58, , 37, , 1, 3
2020/9/2, 39, , 41, , 2, 4
2020/9/3, 52, , 41, , 1, 4
2020/9/4, 43, , 45, , 1, 3
2020/9/5, 35, , 44, , 1, 3
2020/9/6, 46, , 63, , 1, 4
2020/9/7, 49, , 48, , 1, 4
2020/9/8, 48, , 48, , 2, 5
2020/9/9, 59, , 54, , 1, 3
2020/9/10, 45, , 52, , 1, 4
2020/9/11, 54, , 53, , 1, 4
2020/9/12, 56, , 41, , 1, 4
2020/9/13, 55, , 39, , 1, 3
2020/9/14, 38, , 43, , 1, 4
2020/9/15, 40, , 41, , 1, 5
2020/9/16, 56, , 46, , 3, 8
2020/9/17, 67, , 53, , 3, 8
2020/9/18, 77, , 54, , 2, 7
2020/9/19, 82, , 41, , 4, 9
2020/9/20, 72, , 38, , 1, 5
2020/9/21, 38, , 54, , 1, 5
2020/9/22, 36, , 57, , 1, 5
2020/9/23, 46, , 49, , 2, 6
2020/9/24, 51, , , , , 
2020/10/1, 47, , 44, , 1, 3
2020/4/2, 34, , 32, , 1, 4
2020/4/3, 44, , 34, , 1, 2
2020/4/4, 31, , 36, , 2, 3
2020/4/5, 38, , 35, , 2, 4
2020/4/6, 46, , 39, , 2, 3
2020/4/7, 37, , 35, , 1, 4
2020/4/8, 40, , 38, , , 3
2020/4/9, 36, , 30, , , 4
2020/4/10, 49, , 33, , , 5
2020/4/11, 57, , 29, , , 4
2020/4/12, 35, , 33, , , 5
2020/4/13, 41, , 37, , , 5
2020/4/14, 32, , 33, , , 5
2020/4/15, 30, , 40, , , 4
2020/4/16, 36, , 43, , 1, 4
2020/4/17, 58, , 54, , 1, 4
2020/4/18, 65, , 51, , , 4
2020/4/19, 56, , 37, , , 4
2020/4/20, 48, , 30, , , 3
2020/4/21, 37, , 31, , , 3
2020/4/22, 34, , 44, , , 4
2020/4/23, 48, , 28, , , 4
2020/4/24, 43, , 37, , , 4
2020/4/25, 43, , 37, , , 5
2020/4/26, 50, , 43, , , 5
2020/4/27, 54, , 38, , , 5
2020/4/28, 40, , 35, , 1, 4
2020/4/29, 50, , 25, , 1, 3
2020/4/30, 53, , 28, , 1, 4
2020/5/1, 50, , 26, , 1, 4
2020/5/2, 57, , 29, , 1, 4
2020/5/3, 52, , 26, , , 3
2020/5/4, 37, , 29, , 1, 5
