date, pm25, pm10, o3, no2, so2, co
2020/3/8, 59, , 51, , 2, 8
2020/3/9, 49, , 45, , 4, 8
2020/3/10, 73, , 38, , 3, 10
2020/3/11, 75, , 34, , 4, 11
2020/3/12, 74, , 35, , 4, 10
2020/3/13, 70, , 38, , 3, 8
2020/3/14, 53, , 30, , 2, 7
2020/3/15, 41, , 42, , 1, 6
2020/3/16, 32, , 30, , 2, 7
2020/3/17, 35, , 52, , 1, 4
2020/3/18, 32, , 56, , 1, 3
2020/3/19, 47, , 51, , 1, 3
2020/3/20, 36, , 33, , 1, 3
2020/3/21, 22, , 35, , 1, 2
2020/3/22, 25, , 34, , 1, 3
2020/3/23, 32, , 55, , 1, 3
2020/3/24, 59, , 63, , 1, 3
2020/3/25, 70, , 58, , 2, 3
2020/3/26, 75, , 57, , 1, 3
2020/3/27, 50, , 42, , 1, 3
2020/3/28, 43, , 51, , 1, 3
2020/3/29, 26, , 62, , 1, 4
2020/3/30, 41, , 50, , 1, 4
2020/3/31, 61, , 42, , 1, 4
2020/4/1, 48, , 37, , 0, 3
2020/2/2, 79, , 45, , 3, 7
2020/2/3, 54, , 42, , 3, 8
2020/2/4, 59, , 41, , 3, 8
2020/2/5, 64, , 57, , 4, 8
2020/2/6, 73, , 53, , 4, 8
2020/2/7, 70, , 31, , 3, 8
2020/2/8, 68, , , , , 
2020/2/13, 84, , 50, , 3, 7
2020/2/14, 72, , 49, , 5, 9
2020/2/15, 78, , 50, , 3, 6
2020/2/16, 39, , 47, , 3, 6
2020/2/17, 48, , 31, , 2, 6
2020/2/18, 41, , 32, , 2, 6
2020/2/19, 41, , 34, , 3, 3
2020/2/20, 47, , 45, , 3, 6
2020/2/21, 61, , 26, , 3, 8
2020/2/22, 64, , 26, , 3, 8
2020/2/23, 64, , 65, , 2, 8
2020/2/24, 53, , 33, , 2, 7
2020/2/25, 53, , 39, , 2, 7
2020/2/26, 51, , 24, , 2, 8
2020/2/27, 51, , 36, , 2, 8
2020/2/28, 55, , 43, , 3, 10
2020/2/29, 57, , 52, , 4, 10
2020/3/1, 64, , 59, , 3, 8
2020/1/2, 45, , 17, , 2, 7
2020/1/3, 44, , 21, , 3, 9
2020/1/4, 58, , 39, , 3, 8
